CustomerID,TransactionID,Category,Region,PaymentMethod,Amount
8270,1,Electronics,North,Credit Card,231.8
1860,2,Electronics,East,Mobile Pay,244.07
6390,3,Clothing,West,Cash,71.07
6191,4,Home,North,Mobile Pay,44.9
6734,5,Electronics,North,Credit Card,365.33
7265,6,Electronics,West,Mobile Pay,250.75
1466,7,Beauty,West,Debit Card,221.24
5426,8,Home,South,Mobile Pay,366.11
6578,9,Electronics,East,Debit Card,383.93
9322,10,Home,West,Cash,83.66
2685,11,Clothing,West,Debit Card,307.06
1769,12,Groceries,East,Mobile Pay,72.0
7949,13,Electronics,West,Credit Card,376.93
3433,14,Beauty,West,Debit Card,330.19
6311,15,Clothing,South,Cash,478.52
6051,16,Home,North,Debit Card,39.13
7420,17,Clothing,North,Debit Card,33.24
2184,18,Electronics,North,Debit Card,144.68
5555,19,Home,North,Cash,134.54
4385,20,Groceries,West,Mobile Pay,127.25
7396,21,Clothing,East,Debit Card,453.6
9666,22,Electronics,East,Debit Card,128.53
3558,23,Beauty,South,Credit Card,139.62
8849,24,Home,South,Cash,380.9
3047,25,Clothing,West,Debit Card,227.62
3747,26,Clothing,East,Cash,389.47
1189,27,Groceries,East,Debit Card,37.36
3734,28,Groceries,North,Mobile Pay,246.35
4005,29,Beauty,West,Mobile Pay,21.64
5658,30,Beauty,West,Debit Card,36.01
2899,31,Electronics,North,Mobile Pay,453.69
8734,32,Electronics,West,Debit Card,73.93
2267,33,Beauty,West,Mobile Pay,268.55
2528,34,Beauty,South,Credit Card,208.49
4556,35,Home,East,Credit Card,176.93
4890,36,Groceries,West,Credit Card,450.42
9838,37,Electronics,South,Cash,15.8
6393,38,Groceries,East,Cash,333.58
9792,39,Groceries,North,Credit Card,481.88
9433,40,Beauty,South,Cash,282.28
8513,41,Home,South,Mobile Pay,468.73
3612,42,Clothing,East,Debit Card,30.87
8041,43,Home,North,Debit Card,212.3
7235,44,Home,South,Debit Card,133.78
6486,45,Groceries,West,Credit Card,366.76
8099,46,Home,West,Cash,490.74
1775,47,Electronics,West,Mobile Pay,131.98
9226,48,Groceries,North,Mobile Pay,328.82
4152,49,Electronics,South,Credit Card,103.06
2585,50,Clothing,West,Mobile Pay,284.84
4943,51,Groceries,North,Mobile Pay,234.65
8555,52,Clothing,West,Mobile Pay,486.14
4073,53,Groceries,East,Mobile Pay,306.22
2021,54,Beauty,South,Cash,178.01
4843,55,Home,South,Mobile Pay,61.48
8989,56,Beauty,North,Debit Card,79.87
7873,57,Clothing,North,Credit Card,116.53
6675,58,Home,South,Cash,129.23
1161,59,Groceries,West,Mobile Pay,426.05
5297,60,Home,West,Cash,282.81
1995,61,Electronics,East,Mobile Pay,264.08
8629,62,Home,West,Debit Card,61.81
2016,63,Electronics,North,Credit Card,430.77
8869,64,Home,North,Mobile Pay,362.79
7439,65,Electronics,West,Mobile Pay,38.5
8892,66,Clothing,North,Mobile Pay,355.38
7863,67,Beauty,South,Mobile Pay,274.05
8916,68,Groceries,South,Credit Card,45.45
9529,69,Home,West,Credit Card,231.86
1878,70,Beauty,South,Debit Card,244.92
5887,71,Groceries,South,Credit Card,87.06
5859,72,Groceries,East,Mobile Pay,473.12
7331,73,Electronics,East,Debit Card,425.74
9571,74,Clothing,South,Debit Card,336.17
9684,75,Clothing,West,Debit Card,233.84
8208,76,Beauty,East,Mobile Pay,208.82
6276,77,Clothing,North,Cash,327.23
3062,78,Home,North,Mobile Pay,274.99
1064,79,Clothing,North,Credit Card,35.83
9006,80,Beauty,West,Credit Card,258.69
3568,81,Clothing,South,Mobile Pay,404.17
6463,82,Home,North,Mobile Pay,232.32
3027,83,Electronics,West,Debit Card,30.72
3695,84,Beauty,East,Mobile Pay,394.21
6258,85,Electronics,South,Debit Card,104.68
6618,86,Electronics,East,Credit Card,133.02
7736,87,Electronics,West,Debit Card,86.53
1391,88,Groceries,North,Mobile Pay,168.46
6892,89,Groceries,North,Credit Card,379.59
4561,90,Electronics,West,Cash,262.1
7184,91,Beauty,North,Debit Card,106.42
4099,92,Home,South,Credit Card,439.53
7278,93,Home,West,Debit Card,440.39
9392,94,Clothing,East,Credit Card,435.94
4104,95,Beauty,West,Credit Card,123.2
8215,96,Groceries,South,Debit Card,228.36
3454,97,Electronics,South,Cash,492.57
9996,98,Clothing,West,Credit Card,387.15
3731,99,Home,West,Credit Card,18.45
9154,100,Groceries,North,Credit Card,37.28
6056,101,Groceries,South,Cash,234.65
9110,102,Electronics,West,Cash,455.06
4840,103,Home,West,Mobile Pay,271.66
2028,104,Beauty,South,Debit Card,251.42
8385,105,Groceries,West,Cash,57.21
1502,106,Electronics,North,Debit Card,330.11
7910,107,Beauty,South,Mobile Pay,411.94
7938,108,Home,North,Debit Card,193.31
5488,109,Groceries,North,Cash,388.93
1206,110,Beauty,North,Debit Card,482.42
6134,111,Beauty,North,Cash,105.86
6977,112,Beauty,South,Debit Card,264.05
8721,113,Groceries,North,Cash,147.13
8035,114,Groceries,North,Cash,397.46
2484,115,Clothing,West,Debit Card,290.91
8858,116,Home,South,Mobile Pay,319.12
1863,117,Electronics,South,Credit Card,399.97
3790,118,Beauty,East,Mobile Pay,201.01
8408,119,Clothing,South,Debit Card,457.97
9755,120,Electronics,South,Mobile Pay,268.85
6116,121,Clothing,East,Cash,83.19
7019,122,Groceries,South,Credit Card,349.47
2757,123,Beauty,South,Debit Card,397.66
8574,124,Electronics,South,Debit Card,161.8
7374,125,Electronics,South,Debit Card,429.3
7892,126,Electronics,East,Credit Card,453.54
2678,127,Electronics,South,Cash,142.07
4242,128,Electronics,South,Debit Card,491.84
5636,129,Clothing,East,Mobile Pay,74.65
